ATC_E53A76
Time-Data=(A2/86400)+25569;Temp;Humi;Vbat
1708806194;23.58;57.47;2506
1708807996;23.57;56.24;2506
1708809799;23.4;54.71;2510
1708811601;22.54;53.23;2509
1708813403;21.96;54.16;2497
1708815206;21.82;56.04;2495
1708817008;21.69;56.37;2498
1708818810;21.51;56.73;2497
1708820612;21.47;57.9;2491
1708822415;21.32;73.81;2485
1708824217;20.64;84.43;2465
1708826019;20.38;83.6;2462
1708827821;20.27;83.57;2457
1708829624;20.14;84.01;2455
1708831423;20.05;84.04;2455
1708833228;20;84.71;2454
1708835030;20.01;85.58;2456
1708836830;20.02;85.14;2458
1708838635;19.98;84.48;2459
1708840435;19.93;84.34;2455
1708842239;19.92;84.52;2456
1708844041;19.9;84.56;2458
1708845844;19.88;84.67;2458
1708847646;19.87;84.89;2457
1708849448;19.87;85.16;2456
1708851250;19.86;84.89;2460
1708853053;20.09;84.17;2462
1708854855;20.64;84.47;2465
1708856657;21.04;85.24;2468
1708858457;21.48;85.32;2472
1708860259;21.78;84.89;2478
1708862064;21.73;83.55;2472
1708863866;21.61;82.8;2469
1708865668;21.63;82.63;2468
1708867468;21.73;82.13;2467
1708869273;21.8;81.76;2470
1708871075;21.82;81.57;2469
1708872877;21.89;81.24;2468
1708874677;22.13;82.28;2472
1708876482;22.34;82.13;2472
1708878284;22.33;80.48;2473
1708880087;22.25;79.25;2470
1708881889;22.18;77.84;2478
1708883689;22.17;77.51;2477
1708885493;22.19;77.09;2476
1708887293;22.24;76.9;2470
1708889098;22.28;76.37;2471
1708890900;22.29;75.73;2472
1708892702;22.3;75.03;2474
1708894505;22.3;74.33;2472
1708896307;22.26;73.68;2470
1708898109;21.53;70.89;2472
1708899911;20.96;72.66;2462
1708901714;20.75;73.58;2456
1708903516;20.14;72.88;2453
1708905318;19.26;73.82;2443
1708907120;19.66;75.57;2440
1708908923;20;75.23;2449
1708910722;20.18;74.57;2450
1708912525;20.27;74.16;2452
1708914329;20.3;73.88;2453
1708916132;20.31;73.66;2448
1708917931;20.32;73.54;2449
1708919736;20.33;73.53;2452
1708921538;20.33;73.42;2453
1708923341;20.31;73.26;2453
1708925140;20.3;73.07;2452
1708926945;20.3;72.66;2457
1708928747;20.29;72.25;2451
1708930549;20.27;71.84;2452
1708932352;20.26;71.42;2454
1708934154;20.24;73.39;2453
1708935956;20.3;77.18;2453
1708937758;20.22;73.84;2452
1708939561;20.42;71.73;2451
1708941360;21.2;72.08;2458
1708943165;21.77;70.59;2467
1708944967;22.23;69.31;2473
1708946770;22.62;67.62;2476
1708948572;22.72;65.24;2475
1708950374;22.74;64.71;2475
1708952176;22.82;63.77;2476
1708953979;22.99;63.91;2475
1708955778;23.18;63.41;2478
1708957583;23.3;62.57;2480
1708959385;23.34;61.82;2484
1708961188;23.39;61.26;2480
1708962990;23.57;60.71;2476
1708964790;23.57;59.85;2475
1708966594;23.45;59.18;2476
1708968397;23.39;58.44;2467
1708970199;23.36;58.21;2475
1708972001;23.36;57.84;2477
1708973803;23.38;57.35;2477
1708975605;23.43;56.94;2479
1708977408;23.49;56.46;2478
1708979210;23.55;56.13;2484
1708981010;23.62;55.82;2479
1708982814;23.73;56.35;2480
1708984617;22.86;54.17;2480
1708986419;21.31;53.73;2470
1708988221;20.28;55.36;2452
1708990021;20.59;58.73;2447
1708991826;21.02;60.46;2451
1708993628;21.3;63.09;2456
1708995430;21.29;59.33;2459
1708997232;21.23;58.69;2460
1708999035;21.16;57.68;2461
1709000837;21.28;63.34;2459
1709002639;21.49;66.06;2463
1709004441;21.61;67.23;2467
1709006244;21.71;68.31;2467
1709008043;21.78;69.15;2463
1709009848;21.81;69.91;2469
1709011650;21.82;70.54;2468
1709013453;21.79;70.26;2471
1709015255;21.63;69.96;2472
1709017057;21.54;70.02;2466
1709018859;21.46;70.37;2468
1709020662;21.46;71.71;2466
1709022464;21.5;72.5;2460
1709024266;21.46;72.14;2458
1709026066;21.78;72.07;2464
1709027871;22.64;70.96;2472
1709029673;23.25;70.4;2482
1709031475;23.77;69.06;2481
1709033277;24.18;66.23;2480
1709035080;24.24;63.39;2477
1709036882;24.18;62.34;2477
1709038684;24.25;60.23;2482
1709040486;24.22;58.51;2478
1709042289;24.26;57.3;2476
1709044088;24.23;56.45;2473
1709045893;24.23;55.79;2475
1709047695;24.28;55.35;2477
1709049495;24.46;55.21;2482
1709051300;24.55;54.62;2480
1709053102;24.37;53.46;2481
1709054905;24.29;52.99;2479
1709056707;23.68;58.73;2478
1709058509;23.66;57.06;2474
1709060311;23.7;55.06;2474
1709062113;23.72;53.6;2483
1709063916;23.81;52.68;2483
1709065715;23.87;51.92;2478
1709067520;24.1;51.87;2474
1709069322;24.13;50.6;2473
1709071125;23.4;50.85;2477
1709072927;22.8;52.17;2476
1709074729;22.45;53.77;2474
1709076529;22.22;52.3;2472
1709078334;21.79;52.6;2464
1709080136;21.56;53.33;2463
1709081938;21.57;54.06;2462
1709083741;21.56;54.05;2463
1709085543;21.51;54.16;2465
1709087345;21.44;54.2;2463
1709089148;21.38;54.27;2462
1709090947;21.36;54.39;2462
1709092752;21.34;54.53;2459
1709094554;21.33;54.84;2458
1709096357;21.49;60.85;2463
1709098159;21.81;63.2;2471
1709099961;21.93;64.63;2472
1709101761;22.03;65.92;2466
1709103566;22.07;67.01;2470
1709105368;22.09;67.94;2471
1709107170;22.1;68.75;2473
1709108972;22.1;69.51;2471
1709110774;22.1;70.06;2475
1709112577;22.34;69.37;2473
1709114379;23.16;67.51;2477
1709116179;23.63;63.36;2481
1709117981;24.07;61.35;2484
1709119786;24.39;59.23;2484
1709121588;24.51;57.08;2480
1709123390;24.49;55.84;2479
1709125192;24.57;55.04;2478
1709126995;24.49;53.35;2478
1709128797;24.27;52.55;2478
1709130599;24.16;52.41;2477
1709132401;24.07;51.95;2478
1709134201;24.02;51.67;2480
1709136006;23.69;50.14;2473
1709137808;23.31;49.77;2475
1709139610;21.57;74.16;2482
1709141413;20.86;72.92;2486
1709143215;20.63;71.28;2483
1709145017;21.14;70.14;2485
1709146819;21.71;68.9;2498
1709148622;22.02;68.04;2503
1709150424;22.27;67.48;2503
1709152226;22.47;66.86;2506
1709154028;22.67;66.01;2508
1709155830;22.82;65.1;2509
1709157630;22.22;66.35;2514
1709159435;21.53;68.83;2508
1709161237;21.35;70.39;2502
1709163039;21.27;72.37;2500
1709164842;20.4;78.87;2496
1709166644;20.92;75.27;2492
1709168446;21.09;73.79;2498
1709170249;21.14;73.09;2497
1709172051;21.16;72.9;2497
1709173853;21.24;72.94;2502
1709175655;21.3;73.87;2502
1709177458;21.37;76.5;2501
1709179260;21.47;77.66;2505
1709181059;21.63;79.86;2503
1709182864;21.75;80.8;2507
1709184667;21.8;81.35;2513
1709186469;21.81;81.56;2509
1709188268;21.78;81.71;2510
1709190073;21.76;81.8;2509
1709191875;21.71;81.81;2511
1709193675;21.66;81.81;2507
1709195480;21.61;81.81;2506
1709197282;21.58;81.79;2508
1709199084;21.86;81.75;2511
1709200887;22.75;79.57;2517
1709202689;23.35;77.68;2527
1709204491;23.77;73.73;2528
1709206293;24.15;71.5;2530
1709208096;24.17;67.13;2530
1709209898;23.73;64.64;2530
1709211700;23.56;62.67;2530
1709213502;23.56;61.58;2529
1709215305;23.69;60.65;2529
1709217107;23.8;59.19;2532
1709218909;23.84;58.16;2528
1709220712;23.96;57.14;2532
1709222514;24.13;56.14;2536
1709224316;24.11;55.35;2538
1709226119;23.96;54.82;2533
1709227921;23.88;54.44;2534
1709229723;23.82;53.88;2538
1709231525;23.8;53.37;2531
1709233328;23.77;53.13;2532
1709235130;23.73;52.5;2536
1709236932;23.69;52.63;2535
1709238734;23.79;52.47;2536
1709240537;23.86;51.89;2537
1709242339;23.92;51.59;2541
1709244141;23.27;52.33;2537
1709245943;22.65;54.08;2529
1709247746;22.38;54.52;2527
1709249548;22.26;54.89;2527
1709251350;22.13;55.09;2518
1709253153;22.04;55.65;2518
1709254952;22.1;56.29;2520
1709256757;22.11;56.42;2526
1709258559;22.09;56.56;2528
1709260362;22.08;56.89;2524
1709262164;22.09;57.09;2520
1709263964;22.11;58.49;2523
1709265768;22.25;62.9;2526
1709267571;22.31;64.34;2525
1709269373;22.32;65.2;2525
1709271175;22.32;65.95;2530
1709272977;22.32;66.68;2534
1709274780;22.33;67.25;2530
1709276582;22.33;67.82;2531
1709278384;22.33;66.81;2529
1709280186;22.15;62.63;2526
1709281986;22.05;61.64;2525
1709283788;22.04;61.09;2526
1709285591;22.25;59.52;2531
1709287395;23.14;57.16;2534
1709289198;23.73;55.68;2541
1709291000;24.22;54.55;2544
1709292800;24.71;53.7;2547
1709294602;24.55;55.55;2543
1709296407;24.01;59.03;2541
1709298209;24.1;57.06;2540
1709300011;24.2;55.41;2539
1709301813;24.3;54.24;2543
1709303616;24.39;53.4;2542
1709305418;23.97;58.24;2542
1709307220;23.81;56.65;2540
1709309022;24.17;54.91;2542
1709310825;24.33;54.01;2545
1709312627;24.37;53.53;2546
1709314429;24.46;53.31;2546
1709316231;24.51;53.01;2546
1709318033;24.67;52.91;2545
1709319836;24.76;52.51;2546
1709321638;24.75;52.19;2547
1709323440;24.73;54.01;2542
1709325242;23.99;79.07;2549
1709327045;22.51;82.14;2550
1709328847;21.97;84.15;2542
1709330649;21.17;84.89;2534
1709332452;20.3;85.23;2521
1709334251;20.08;87.42;2515
